  0.18213388D-01 -0.18142032D-15 -0.46561492D+01 -0.78841395D+01
 -0.86374170D-02  0.34367567D+01 -0.93231396D+01  0.46463321D+01
 -0.37501618D-02  0.28911838D+01 -0.74650886D+01  0.46463321D+01
 -0.67231850D-02 -0.32975439D+01 -0.83548934D+01  0.46463321D+01
 -0.91236817D-02 -0.32975439D+01 -0.10291386D+02  0.46463321D+01
 -0.96102812D-03 -0.22505970D+01 -0.11920467D+02  0.46463321D+01
 -0.69832930D-02  0.28911838D+01 -0.11181191D+02  0.46463321D+01
 -0.22087316D-01  0.39684249D+01 -0.93231396D+01  0.26621197D+01
 -0.20422091D-01 -0.38531096D+01 -0.83734334D+01  0.26621197D+01
 -0.24188792D-01 -0.38531096D+01 -0.10272846D+02  0.26621197D+01
 -0.24181375D-01  0.34367567D+01 -0.93231396D+01  0.67790729D+00
 -0.17499859D-01  0.34367567D+01 -0.11539342D+02  0.33373453D+01
 -0.10412510D-01 -0.32975439D+01 -0.12507589D+02  0.33373453D+01
 -0.21582004D-01  0.39684249D+01 -0.11539342D+02  0.13531329D+01
 -0.26391986D-01 -0.38531096D+01 -0.10589636D+02  0.13531329D+01
 -0.15196636D-01 -0.38531096D+01 -0.12489049D+02  0.13531329D+01
 -0.47269677D-03 -0.29704087D+01 -0.14170895D+02  0.13531329D+01
 -0.81533310D-02  0.35138657D+01 -0.13383561D+02  0.13531329D+01
 -0.24181388D-01  0.34367567D+01 -0.93231396D+01 -0.67790885D+00
 -0.22087326D-01  0.39684249D+01 -0.93231396D+01 -0.26621213D+01
 -0.20422101D-01 -0.38531096D+01 -0.83734334D+01 -0.26621213D+01
 -0.24188798D-01 -0.38531096D+01 -0.10272846D+02 -0.26621213D+01
 -0.86373987D-02  0.34367567D+01 -0.93231396D+01 -0.46463337D+01
 -0.37501412D-02  0.28911838D+01 -0.74650887D+01 -0.46463337D+01
 -0.67231652D-02 -0.32975439D+01 -0.83548934D+01 -0.46463337D+01
 -0.91236661D-02 -0.32975439D+01 -0.10291386D+02 -0.46463337D+01
 -0.96104729D-03 -0.22505970D+01 -0.11920467D+02 -0.46463337D+01
 -0.69832865D-02  0.28911838D+01 -0.11181191D+02 -0.46463337D+01
 -0.21582018D-01  0.39684249D+01 -0.11539341D+02 -0.13531325D+01
 -0.26391992D-01 -0.38531096D+01 -0.10589634D+02 -0.13531325D+01
 -0.15196660D-01 -0.38531096D+01 -0.12489047D+02 -0.13531325D+01
 -0.47274092D-03 -0.29704087D+01 -0.14170893D+02 -0.13531325D+01
 -0.81533658D-02  0.35138657D+01 -0.13383560D+02 -0.13531325D+01
 -0.17499894D-01  0.34367567D+01 -0.11539341D+02 -0.33373450D+01
 -0.10412562D-01 -0.32975439D+01 -0.12507587D+02 -0.33373450D+01
  0.16282834D-01 -0.11416782D-14 -0.93225103D+01  0.78872673D+01
  0.12371241D-01  0.18660653D+01 -0.93225103D+01  0.72809459D+01
  0.18412642D-01  0.57664589D+00 -0.75477768D+01  0.72809459D+01
  0.14682554D-01 -0.15096785D+01 -0.82256647D+01  0.72809459D+01
  0.12469640D-01 -0.15096785D+01 -0.10419356D+02  0.72809459D+01
